pitcher,pitch_type,release_speed,pfx_z,pfx_x,release_spin_rate,spin_axis,release_pos_x,release_pos_z,release_extension,plate_z,plate_x,stand
660271,FC,93.1,0.66,0.3,2439,185,-2.34,5.8,6.8,1.52,1.34,L
660271,FF,97.7,1.08,-0.19,2309,213,-2.43,5.81,6.7,2.33,0.41,R
660271,SL,85.9,0.54,1.34,2522,71,-2.43,5.8,6.6,2.9,0.66,R
660271,FC,92.3,0.56,0.29,2498,174,-2.34,5.81,6.7,2.2,1.3,R
660271,FC,90.3,0.56,0.13,2424,177,-2.36,5.9,6.7,2.99,0.25,R
660271,CU,77.4,-1.05,0.57,2432,43,-1.87,6.45,6.5,2.76,-1.04,R
660271,FC,89,0.65,0.61,2454,102,-2.33,5.69,6.6,2.78,-0.6,L
660271,FS,90.5,-0.03,-0.26,1213,235,-1.91,6.08,6.7,1.6,-0.71,L
660271,FS,92.6,0.12,-0.37,1502,251,-1.93,5.98,6.9,0.7,0.32,L
660271,FS,90,0.14,-0.37,1271,232,-2.01,6.06,6.9,1.84,-0.63,L
660271,CU,78,-1.12,0.73,2523,43,-1.81,6.23,7.1,2.15,0.37,L
660271,FC,91.7,0.48,0.39,2365,167,-2.13,5.67,6.8,2.89,1.23,R
660271,SI,98.1,0.41,-1.18,1899,209,-2.02,5.8,6.9,3.33,-0.17,R
660271,FC,91.7,0.11,0.5,2602,154,-2.34,5.58,6.9,1.69,0.52,R
660271,SL,88.3,0.32,1.05,2652,69,-2.45,5.63,6.9,3.11,0.6,R
660271,FS,90.2,-0.01,-0.49,1170,232,-1.81,6.11,7,3.17,-2.02,R
660271,FC,90.4,0.42,0.81,2540,99,-2.03,5.91,6.8,0.25,1.65,R
660271,FS,91.2,0.09,-0.47,1221,239,-1.73,6.15,6.9,1.49,0.08,R
660271,SL,87.1,0.42,0.81,2480,79,-2.35,5.7,6.7,3.57,0.24,R
660271,SI,97.1,0.38,-1.24,1936,209,-2,5.9,6.9,2.29,-0.61,R
660271,SL,85.7,0.07,1.1,2571,79,-2.15,5.97,6.8,0.8,1.18,R
660271,FS,90,0.14,-0.31,1432,230,-1.8,6.14,6.8,1.54,0.33,R
660271,SI,98.4,0.6,-1.23,1973,208,-2.07,5.94,6.8,2.38,0.17,R
660271,SL,84.5,-0.13,1.17,2597,56,-2.14,6.03,6.7,1.38,-0.24,R
